time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-06T03:26:57.751Z,-33.8077,-72.1083,23.688,4.5,mb,52,146,0.438,0.77,us,us6000nwtt,2024-10-06T03:50:47.040Z,"52 km WSW of San Antonio, Chile",earthquake,4.64,3.858,0.099,30,reviewed,us,us
2024-10-06T03:07:02.845Z,60.8946,-151.3288,119.9,3,ml,,,,0.9,ak,ak024cv4avwb,2024-10-06T03:09:26.084Z,"21 km SSW of Tyonek, Alaska",earthquake,,1.7,,,automatic,ak,ak
2024-10-06T02:56:53.287Z,51.6388,175.4597,57.119,4.5,mb,72,198,1.958,0.81,us,us6000nwtm,2024-10-06T03:19:14.040Z,"205 km SE of Attu Station, Alaska",earthquake,13.29,9.77,0.066,67,reviewed,us,us
2024-10-06T02:54:10.344Z,36.3994,70.4231,210.664,4.3,mb,30,252,2.017,1,us,us6000nwti,2024-10-06T03:34:15.040Z,"54 km ESE of Farkhār, Afghanistan",earthquake,11.07,11.638,0.201,7,reviewed,us,us
2024-10-06T01:33:52.402Z,69.361,-144.7655,0,3,ml,,,,0.67,ak,ak024cv39slq,2024-10-06T02:39:36.216Z,"96 km SSW of Kaktovik, Alaska",earthquake,,2.1,,,automatic,ak,ak
2024-10-06T01:28:31.160Z,17.8433333333333,-66.8598333333333,13.75,2.63,md,4,256,0.2158,0.08,pr,pr71461863,2024-10-06T01:41:59.630Z,"15 km SSE of Guánica, Puerto Rico",earthquake,1.11,0.61,0.103762197832058,4,reviewed,pr,pr
2024-10-06T00:25:57.740Z,36.1451667,-117.0811667,1.83,3.59,mw,27,125,0.302,0.16,ci,ci40752591,2024-10-07T00:29:26.346Z,"40 km SSW of Furnace Creek, CA",earthquake,0.3,0.9,,4,reviewed,ci,ci
2024-10-05T23:54:02.808Z,-2.0657,-80.5293,35,4.2,ml,13,289,0.98,0.62,us,us6000nwsi,2024-10-06T00:16:09.040Z,"40 km ENE of Santa Elena, Ecuador",earthquake,6.62,2.027,0.077,22,reviewed,us,us
2024-10-05T23:34:19.216Z,53.4293,-163.1907,32.948,3.8,mb,39,209,1.26,1.04,us,us6000nwst,2024-10-06T00:49:07.040Z,"159 km S of False Pass, Alaska",earthquake,6.24,13.211,0.193,7,reviewed,us,us
2024-10-05T23:14:50.420Z,17.905,-66.8625,10.19,2.85,md,8,198,0.1845,0.07,pr,pr71461848,2024-10-05T23:27:35.040Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,0.53,1.08,0.0160278804924101,4,reviewed,pr,pr
